facility_id,drg_code,total_discharges,avg_submitted_charges,avg_total_payment,avg_medicare_payment,state,state_drg_avg,pct_of_state_avg
440035,291,128,60390.820313,8770.1484375,7589.578125,TN,9680.658074015624,90.59454812313254
440039,291,214,76096.327103,18448.897196,10574.420561,TN,9680.658074015624,190.5748251301188
440046,291,94,44247.43617,8997.6702128,7547.6702128,TN,9680.658074015624,92.94481990796814
440048,291,473,57040.754757,10200.997886,7659.4270613,TN,9680.658074015624,105.37504586987787
440049,291,528,40510.839015,12277.219697,9085.8768939,TN,9680.658074015624,126.82216026154201
440050,291,70,32504.614286,8438.0285714,7455.1714286,TN,9680.658074015624,87.16379100351625
440053,291,251,32218.442231,10531.705179,8584.9123506,TN,9680.658074015624,108.79121128416587
440056,291,47,44103.340426,7816.1914894,6760.8723404,TN,9680.658074015624,80.74029089385834
440057,291,17,18030.764706,9186.8235294,7869.1764706,TN,9680.658074015624,94.89875026222492
440058,291,29,45318.37931,9550.137931,8501.862069,TN,9680.658074015624,98.65174307348009
440059,291,245,23136.75102,8831.7387755,7409.9673469,TN,9680.658074015624,91.23076869335718
440061,291,14,24715.785714,8556.5714286,7642.2857143,TN,9680.658074015624,88.38832404965478
440063,291,168,40288.952381,10510.636905,7984.0,TN,9680.658074015624,108.5735786207775
440065,291,34,44544.823529,9996.3823529,9019.9117647,TN,9680.658074015624,103.26139273250263
440068,291,30,61251.733333,10108.533333,9095.2,TN,9680.658074015624,104.41989847914222
440072,291,83,37656.13253,8426.373494,7235.4216867,TN,9680.658074015624,87.04339549619753
440073,291,201,35534.338308,8603.0248756,7011.9303483,TN,9680.658074015624,88.86818240891952
440081,291,41,17643.170732,9129.9756098,7349.3414634,TN,9680.658074015624,94.31151828723566
440082,291,394,37101.522843,10359.271574,8167.5812183,TN,9680.658074015624,107.00999348180554
440084,291,34,34354.882353,10991.411765,10191.411765,TN,9680.658074015624,113.5399234325055
440091,291,317,32971.9653,8232.5457413,6555.851735,TN,9680.658074015624,85.04117879545214
440102,291,13,18023.0,10231.923077,9370.3846154,TN,9680.658074015624,105.69449926616099
440104,291,149,38175.442953,12174.107383,9550.1744966,TN,9680.658074015624,125.75702281725225
440109,291,12,32924.833333,10809.833333,10009.833333,TN,9680.658074015624,111.66424069883489
440110,291,33,20769.242424,8882.0909091,7766.9393939,TN,9680.658074015624,91.75090000276839
440120,291,159,57536.584906,8586.1257862,7361.5345912,TN,9680.658074015624,88.69361690654567
440125,291,91,26119.692308,8788.978022,7552.5384615,TN,9680.658074015624,90.78905540100594
440130,291,47,37239.234043,8379.2553191,7630.3191489,TN,9680.658074015624,86.55667057998062
440131,291,42,29442.928571,12464.547619,10625.452381,TN,9680.658074015624,128.75723451545886
440132,291,30,26527.933333,8808.8,7682.7,TN,9680.658074015624,90.99381398093352
440137,291,25,56979.04,12045.56,9376.12,TN,9680.658074015624,124.42914425758033
440144,291,108,55369.888889,9890.2037037,8813.6759259,TN,9680.658074015624,102.16458042503152
440150,291,127,78910.354331,9782.5590551,7195.1259843,TN,9680.658074015624,101.05262452516419
440151,291,58,25724.137931,10279.982759,9308.3275862,TN,9680.658074015624,106.19094983421691
440153,291,21,51319.428571,10122.714286,8751.2857143,TN,9680.658074015624,104.56638596885188
440156,291,164,75418.280488,9628.7926829,8206.054878,TN,9680.658074015624,99.464236927706
440161,291,121,70454.950413,9500.9586777,7889.5371901,TN,9680.658074015624,98.14372747243326
440173,291,162,20757.0,8521.8888889,6602.1790123,TN,9680.658074015624,88.03005770624274
440175,291,27,76135.481481,9989.4814815,8679.3703704,TN,9680.658074015624,103.19010758486871
440183,291,64,76318.65625,8163.65625,6673.640625,TN,9680.658074015624,84.32955887485076
440184,291,29,38782.448276,8974.7586207,6848.0689655,TN,9680.658074015624,92.70814599670278
440185,291,94,66992.053191,8650.0851064,7444.787234,TN,9680.658074015624,89.35430876975357
440187,291,27,56145.592593,9972.5555556,8905.8888889,TN,9680.658074015624,103.01526486477064
440193,291,98,42982.846939,9252.4897959,7490.6836735,TN,9680.658074015624,95.57707466949078
440194,291,60,76661.266667,9751.6166667,7355.5666667,TN,9680.658074015624,100.73299348186711
440197,291,39,56296.846154,10891.0,9073.2820513,TN,9680.658074015624,112.50268232521424
440227,291,49,78399.408163,9636.4693878,8192.0408163,TN,9680.658074015624,99.54353633939171
440228,291,119,75691.327731,7735.2436975,6582.6722689,TN,9680.658074015624,79.90411022017796
450002,291,29,118675.17241,9111.9310345,8146.1724138,TX,11836.020339187113,76.9847530958687
450007,291,96,28405.666667,8887.1041667,7466.40625,TX,11836.020339187113,75.0852390585733
450010,291,314,35106.713376,10612.267516,9173.111465,TX,11836.020339187113,89.66077458370472
450011,291,247,49377.88664,10087.287449,9039.7975709,TX,11836.020339187113,85.22533047364453
450015,291,120,73993.575,49464.816667,45253.391667,TX,11836.020339187113,417.9176382726392
450018,291,221,32351.647059,16012.800905,12228.986425,TX,11836.020339187113,135.28872413292714
450021,291,203,43558.768473,14568.44335,10040.236453,TX,11836.020339187113,123.0856566017066
450023,291,177,26408.576271,9446.4915254,7970.1412429,TX,11836.020339187113,79.81138300450722
450024,291,28,26251.035714,24525.75,21859.071429,TX,11836.020339187113,207.21280715274952
450028,291,54,119899.87037,10625.814815,9540.6481481,TX,11836.020339187113,89.77523281047159
450029,291,103,88218.796117,11038.708738,9548.0097087,TX,11836.020339187113,93.26368510412789
450032,291,216,43695.824074,10668.912037,9529.9861111,TX,11836.020339187113,90.1393520056483
450033,291,59,132195.9322,10551.101695,9088.9322034,TX,11836.020339187113,89.14399766674141
450034,291,170,49269.735294,10805.458824,9770.2823529,TX,11836.020339187113,91.29300655411097
450035,291,20,43786.1,16267.55,14391.8,TX,11836.020339187113,137.4410446570527
450039,291,113,52293.362832,33704.238938,31598.380531,TX,11836.020339187113,284.7598937153802
450040,291,226,131479.69912,10019.438053,8114.6106195,TX,11836.020339187113,84.65208546344999
450042,291,182,32895.137363,9927.0549451,8667.4065934,TX,11836.020339187113,83.87156037771545
450044,291,212,47656.377358,13269.014151,9201.7028302,TX,11836.020339187113,112.10705769969387
450046,291,122,56968.557377,12803.385246,11208.5,TX,11836.020339187113,108.17305884149337
450051,291,75,58473.573333,15354.56,11717.546667,TX,11836.020339187113,129.72738775349669
450054,291,178,44925.016854,13657.960674,10067.707865,TX,11836.020339187113,115.39318354143701
450056,291,121,110943.60331,13238.991736,10974.933884,TX,11836.020339187113,111.85340474760659
450058,291,324,98735.41358,9868.4166667,8514.6234568,TX,11836.020339187113,83.37613812665816
