hospital_name,city,state,star_rating,drg_description,hospital_price,national_avg_price,total_savings
"INTERMOUNTAIN HEALTH UTAH VALLEY HOSPITAL",PROVO,UT,5,"CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITH MCC",49353.090909,66327.12,16974.03
"ST. PATRICK HOSPITAL",MISSOULA,MT,5,"CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION",60385.133333,77340.79,16955.66
"SENTARA MARTHA JEFFERSON HOSPITAL",CHARLOTTESVILLE,VA,5,"COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH CC",38048,55000.05,16952.05
"REX HOSPITAL",RALEIGH,NC,5,"AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH MCC",29385.352941,46257.17,16871.82
"BAYLOR SCOTT & WHITE THE HEART HOSPITAL PLANO",PLANO,TX,5,"CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION",60497.617284,77340.79,16843.18
"OKLAHOMA HEART HOSPITAL SOUTH, LLC","OKLAHOMA CITY",OK,5,"OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH MCC",31329.758621,48068.21,16738.45
"NORTHWESTERN MEDICINE CENTRAL DUPAGE HOSPITAL",WINFIELD,IL,5,"CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION",60649.047619,77340.79,16691.75
"LANCASTER GENERAL HOSPITAL",LANCASTER,PA,5,"CONNECTIVE TISSUE DISORDERS WITH MCC",17903.727273,34469.5,16565.78
"ST VINCENT HEART CENTER",CARMEL,IN,5,"CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITH MCC",38411.358491,54921.31,16509.95
"HOSPITAL OF UNIV OF PENNSYLVANIA",PHILADELPHIA,PA,5,"LUNG TRANSPLANT",175394.78571,191796.07,16401.28
"SARASOTA MEMORIAL HOSPITAL",SARASOTA,FL,5,"REVISION OF HIP OR KNEE REPLACEMENT WITH MCC",35092.277778,51479.12,16386.84
"UNIVERSITY OF KANSAS HOSPITAL","KANSAS CITY",KS,5,"AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC",53548.307692,69906.69,16358.39
"UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR","SAN DIEGO",CA,5,"LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT",143959.66667,160038.24,16078.58
"ST VINCENT HEART CENTER",CARMEL,IN,5,"CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION",36246.918919,52290.8,16043.88
"PARDEE HOSPITAL HENDERSON COUNTY",HENDERSONVILLE,NC,5,"INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURES WITH MCC",27080.2,43065.94,15985.74
"BRIGHAM AND WOMEN'S HOSPITAL",BOSTON,MA,5,"CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES",426032.1875,442001.93,15969.75
"AVERA HEART HOSPITAL OF SOUTH DAKOTA","SIOUX FALLS",SD,5,"CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION",36435.794118,52290.8,15855.01
"REX HOSPITAL",RALEIGH,NC,5,"CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC",33867,49696.8,15829.8
"ST LUKES HOSPITAL BETHLEHEM",BETHLEHEM,PA,5,"STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITH MCC",39488.583333,55273.6,15785.02
"NYU LANGONE HOSPITALS","NEW YORK",NY,5,"LUNG TRANSPLANT",176014.04762,191796.07,15782.02
"SARASOTA MEMORIAL HOSPITAL",SARASOTA,FL,5,"SEPTICEMIA OR SEVERE SEPSIS WITH MV >96 HOURS",45363.625,61140.46,15776.83
"THE HEART HOSPITAL BAYLOR DENTON",DENTON,TX,5,"CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITH MCC",39161.367347,54921.31,15759.94
"ST DAVID'S MEDICAL CENTER",AUSTIN,TX,5,"CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WIT",84485.5,100235.52,15750.02
"ST DAVID'S MEDICAL CENTER",AUSTIN,TX,5,"SEPTICEMIA OR SEVERE SEPSIS WITH MV >96 HOURS",45462.217391,61140.46,15678.24
"NORTHWESTERN MEDICINE MCHENRY",MCHENRY,IL,5,"SEPTICEMIA OR SEVERE SEPSIS WITH MV >96 HOURS",45479.625,61140.46,15660.83
"MAYO CLINIC HOSPITAL",PHOENIX,AZ,5,"ACUTE LEUKEMIA WITH MCC",62217.315789,77828.74,15611.42
"SARASOTA MEMORIAL HOSPITAL",SARASOTA,FL,5,"OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITH MCC",26573.055556,42127.74,15554.68
"VIRGINIA HOSPITAL CENTER",ARLINGTON,VA,5,"SEPTICEMIA OR SEVERE SEPSIS WITH MV >96 HOURS",45588.391304,61140.46,15552.07
"MCKAY-DEE HOSPITAL",OGDEN,UT,5,"MAJOR CHEST PROCEDURES WITH MCC",27880.785714,43431.93,15551.15
"REX HOSPITAL",RALEIGH,NC,5,"POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS WITH O.R. PROCEDURES WITH MCC",31290.75,46757.09,15466.34
"NORTHWESTERN MEMORIAL HOSPITAL",CHICAGO,IL,5,"ALLOGENEIC BONE MARROW TRANSPLANT",133013.72727,148431.28,15417.56
"SARASOTA MEMORIAL HOSPITAL",SARASOTA,FL,5,"LIMB REATTACHMENT, HIP AND FEMUR PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA",23758.464286,39157.01,15398.54
"SARASOTA MEMORIAL HOSPITAL",SARASOTA,FL,5,"OTHER O.R. PROCEDURES FOR INJURIES WITH MCC",27187.5,42577.66,15390.16
"HOUSTON METHODIST THE WOODLANDS HOSPITAL","THE WOODLANDS",TX,5,"MAJOR CHEST PROCEDURES WITH MCC",28050.714286,43431.93,15381.22
"ADVOCATE SHERMAN HOSPITAL",ELGIN,IL,5,"OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH MCC",32793.916667,48068.21,15274.3
